lowering,440,0.000548671
lowering,581,0.000522222
lowering,1128,0.000546245
lowering,283,0.000506208
lowering,384,0.000513027
lowering,290,0.000485786
lowering,414,0.000338829
lowering,1042,0.000342326
lowering,1138,0.000341
lowering,231,0.000323715
lowering,944,0.000325684
lowering,584,0.000357453
lowering,700,0.000332018
lowering,266,0.000341287
lowering,359,0.000327924
lowering,293,0.000357777
lowering,693,0.000326489
lowering,740,0.000337703
lowering,1014,0.000324372
lowering,1178,0.000324658
lowering,149,0.000330814
lowering,346,0.000327797
lowering,574,0.000306278
lowering,1219,0.000336416
lowering,35,0.000323727
lowering,172,0.000321244
lowering,179,0.000328952
lowering,332,0.000324724
lowering,202,0.000326178
lowering,648,0.000331939
lowering,704,0.000326406
lowering,652,0.000321085
lowering,743,0.000322894
lowering,914,0.00033111
lowering,1367,0.00032424
lowering,522,0.000322126
lowering,1155,0.000320605
lowering,548,0.00032401
lowering,603,0.000320985
lowering,1336,0.000323079
lowering,977,0.000323044
lowering,607,0.000327214
lowering,343,0.00034955
lowering,911,0.00032564
lowering,524,0.000324379
lowering,579,0.000336364
lowering,60,0.00032478
lowering,409,0.000325604
lowering,257,0.000329529
lowering,1310,0.000326907
lowering,380,0.000324542
lowering,1183,0.000337272
lowering,1388,0.000344191
lowering,758,0.00035132
lowering,771,0.000344559
lowering,289,0.000340241
lowering,712,0.000327406
lowering,769,0.000326624
lowering,1126,0.000342656
lowering,1251,0.000404375
lowering,476,0.000380686
lowering,1094,0.000475582
lowering,724,0.000354133
lowering,1070,0.000342507
lowering,353,0.00032533
lowering,585,0.000308063
lowering,719,0.000314177
lowering,62,0.000322814
lowering,549,0.000314817
lowering,355,0.000338154
lowering,215,0.00030876
lowering,1076,0.000314058
lowering,508,0.000310642
lowering,895,0.000344179
lowering,1032,0.000324267
lowering,398,0.000301748
lowering,701,0.000306531
lowering,1318,0.000343805
lowering,151,0.000331371
lowering,629,0.000327062
lowering,1325,0.00034352
lowering,978,0.000327247
lowering,279,0.00032321
lowering,1254,0.000325234
lowering,646,0.000409114
lowering,640,0.000535099
lowering,920,0.000434773
lowering,367,0.000418095
lowering,939,0.000349748
lowering,691,0.000336107
lowering,1035,0.000352613
lowering,1321,0.000328431
lowering,123,0.000348325
lowering,144,0.000491783
lowering,339,0.000816622
lowering,374,0.000427919
lowering,617,0.000329022
lowering,1065,0.000338401
lowering,849,0.000393394
lowering,680,0.000380868
lowering,932,0.000317865
lowering,160,0.000395067
lowering,568,0.000332715
lowering,1287,0.000324226
lowering,471,0.000324447
lowering,82,0.000362621
lowering,675,0.000326023
